Request Allowed Wait Time Used(%),Car flexibility (param.),Req. flexibility (param.),reqWaitTime,reqDis,Requests Flexibility Used
0.1088796,1.4,1.1,10624,9757566,0.001088796
0.5735708,1.4,1.2,57242,9979937,0.005735708
1.1605533,1.4,1.3,117290,10106386,0.011605533
2.0724665,1.4,1.4,212747,10265401,0.020724665
2.3727159,1.4,1.5,245660,10353536,0.023727159
3.1077582,1.4,1.6,323164,10398621,0.031077582
3.7796276,1.4,1.7,397100,10506326,0.037796276
4.6332155,1.4,1.8,489190,10558326,0.046332155
4.6696176,1.4,1.9,495849,10618621,0.046696176
5.1591198,1.4,2,545959,10582406,0.051591198
5.8998208,1.4,2.1,628358,10650459,0.058998208
6.4136353,1.4,2.2,681118,10619843,0.064136353
6.4671128,1.4,2.3,691940,10699365,0.064671128
6.9618673,1.4,2.4,743802,10683944,0.069618673
7.8656023,1.4,2.5,838307,10657887,0.078656023
7.6596024,1.4,2.6,821613,10726575,0.076596024
7.7892757,1.4,2.7,835235,10722884,0.077892757
8.3327365,1.4,2.8,887705,10653223,0.083327365
8.2882964,1.4,2.9,883344,10657727,0.082882964
8.7594111,1.4,3,933627,10658559,0.087594111
0.0986081,1.5,1.1,10009,10150284,0.000986081
0.4970637,1.5,1.2,51834,10428040,0.004970637
1.0517442,1.5,1.3,111527,10604004,0.010517442
1.7788305,1.5,1.4,192168,10803053,0.017788305
2.220998,1.5,1.5,241241,10861829,0.02220998
2.8517674,1.5,1.6,309199,10842364,0.028517674
3.2729826,1.5,1.7,358919,10966114,0.032729826
3.6496151,1.5,1.8,400935,10985679,0.036496151
4.0122151,1.5,1.9,440981,10990961,0.040122151
4.5141682,1.5,2,498507,11043164,0.045141682
5.1391142,1.5,2.1,568313,11058579,0.051391142
5.303246,1.5,2.2,587450,11077178,0.05303246
6.2066821,1.5,2.3,686026,11053023,0.062066821
6.2865536,1.5,2.4,696461,11078582,0.062865536
6.3400055,1.5,2.5,698296,11014123,0.063400055
6.6609556,1.5,2.6,740384,11115282,0.066609556
6.8455287,1.5,2.7,763142,11148036,0.068455287
6.9571872,1.5,2.8,770045,11068338,0.069571872
7.0878674,1.5,2.9,784884,11073627,0.070878674
7.3395171,1.5,3,814637,11099327,0.073395171
0.3760745,1.1,1.1,19505,5186472,0.003760745
1.3856284,1.1,1.2,75156,5423965,0.013856284
2.4055412,1.1,1.3,138195,5744861,0.024055412
3.6397297,1.1,1.4,212288,5832521,0.036397297
4.9966196,1.1,1.5,296878,5941577,0.049966196
6.2015403,1.1,1.6,378081,6096566,0.062015403
7.3217034,1.1,1.7,438750,5992458,0.073217034
8.3085619,1.1,1.8,502945,6053334,0.083085619
9.3178869,1.1,1.9,574791,6168684,0.093178869
9.7379837,1.1,2,608378,6247474,0.097379837
11.1790922,1.1,2.1,690428,6176065,0.111790922
12.2714079,1.1,2.2,762111,6210461,0.122714079
13.3919093,1.1,2.3,830486,6201401,0.133919093
13.1750767,1.1,2.4,829533,6296229,0.131750767
13.3557279,1.1,2.5,833623,6241689,0.133557279
15.2551949,1.1,2.6,955017,6260274,0.152551949
15.3312873,1.1,2.7,964948,6293979,0.153312873
15.8513415,1.1,2.8,1014927,6402783,0.158513415
16.0495342,1.1,2.9,1014692,6322252,0.160495342
17.0091109,1.1,3,1063495,6252502,0.170091109
0.1848458,1.2,1.1,11880,6426978,0.001848458
0.8181166,1.2,1.2,54603,6674232,0.008181166
1.5609142,1.2,1.3,105677,6770199,0.015609142
2.8232307,1.2,1.4,194960,6905564,0.028232307
3.2673595,1.2,1.5,231165,7074979,0.032673595
4.4471517,1.2,1.6,319661,7187994,0.044471517
5.2620299,1.2,1.7,384968,7315960,0.052620299
6.1025875,1.2,1.8,442276,7247352,0.061025875
6.7462754,1.2,1.9,486475,7211016,0.067462754
7.2506668,1.2,2,532217,7340249,0.072506668
8.2622672,1.2,2.1,609066,7371657,0.082622672
8.882405,1.2,2.2,659543,7425275,0.08882405
9.1335038,1.2,2.3,673635,7375428,0.091335038
9.9616071,1.2,2.4,744456,7473252,0.099616071
10.1762391,1.2,2.5,749156,7361816,0.101762391
10.7905491,1.2,2.6,803848,7449556,0.107905491
11.0541235,1.2,2.7,819929,7417404,0.110541235
11.9242619,1.2,2.8,883708,7411008,0.119242619
11.2649142,1.2,2.9,831839,7384335,0.112649142
11.9962504,1.2,3,882374,7355415,0.119962504
0.1335797,1.3,1.1,9597,7184477,0.001335797
0.6712106,1.3,1.2,50678,7550238,0.006712106
1.3202574,1.3,1.3,100162,7586551,0.013202574
2.3591002,1.3,1.4,182574,7739137,0.023591002
2.9502219,1.3,1.5,228061,7730300,0.029502219
4.1267596,1.3,1.6,325588,7889677,0.041267596
4.4613717,1.3,1.7,355205,7961789,0.044613717
5.2345595,1.3,1.8,415542,7938433,0.052345595
5.7634278,1.3,1.9,463089,8034958,0.057634278
6.4729077,1.3,2,518038,8003173,0.064729077
7.1332377,1.3,2.1,574115,8048449,0.071332377
7.5961603,1.3,2.2,610997,8043498,0.075961603
7.8291276,1.3,2.3,627049,8009181,0.078291276
8.1023955,1.3,2.4,652705,8055704,0.081023955
8.9057372,1.3,2.5,718496,8067788,0.089057372
9.2341211,1.3,2.6,739752,8011071,0.092341211
9.2781898,1.3,2.7,743543,8013880,0.092781898
9.3590034,1.3,2.8,757619,8095082,0.093590034
9.5423504,1.3,2.9,771043,8080221,0.095423504
10.0522611,1.3,3,814628,8103928,0.100522611
0.1333357,1.4,1.1,10307,7730112,0.001333357
0.676244,1.4,1.2,53554,7919331,0.00676244
1.2667923,1.4,1.3,102049,8055701,0.012667923
1.9534127,1.4,1.4,160232,8202670,0.019534127
2.6991909,1.4,1.5,223146,8267144,0.026991909
3.4649817,1.4,1.6,291199,8404056,0.034649817
4.1082834,1.4,1.7,343713,8366341,0.041082834
4.4519136,1.4,1.8,375041,8424265,0.044519136
5.2011242,1.4,1.9,442151,8501066,0.052011242
5.3507037,1.4,2,455011,8503760,0.053507037
6.2600608,1.4,2.1,531611,8492106,0.062600608
6.834088,1.4,2.2,582957,8530136,0.06834088
7.0541826,1.4,2.3,600391,8511135,0.070541826
7.2143348,1.4,2.4,618558,8574013,0.072143348
7.5561771,1.4,2.5,653832,8652947,0.075561771
8.2192976,1.4,2.6,702662,8548930,0.082192976
8.2050468,1.4,2.7,698941,8518428,0.082050468
8.3636822,1.4,2.8,713878,8535451,0.083636822
8.7672977,1.4,2.9,752265,8580352,0.087672977
8.7264607,1.4,3,746359,8552826,0.087264607
0.101308,1.5,1.1,8234,8127691,0.00101308
0.583604,1.5,1.2,48580,8324137,0.00583604
1.1365032,1.5,1.3,95797,8429101,0.011365032
1.8267138,1.5,1.4,157023,8595928,0.018267138
2.5857194,1.5,1.5,225445,8718850,0.025857194
3.1006315,1.5,1.6,272936,8802594,0.031006315
3.6430881,1.5,1.7,320330,8792815,0.036430881
4.1711827,1.5,1.8,368224,8827808,0.041711827
5.0999648,1.5,1.9,451521,8853414,0.050999648
4.9955981,1.5,2,443116,8870129,0.049955981
5.716547,1.5,2.1,508788,8900268,0.05716547
6.0119797,1.5,2.2,534719,8894225,0.060119797
6.3605943,1.5,2.3,565858,8896307,0.063605943
6.6815952,1.5,2.4,596167,8922525,0.066815952
7.174852,1.5,2.5,636854,8876197,0.07174852
7.6272606,1.5,2.6,676747,8872740,0.076272606
7.2477059,1.5,2.7,646653,8922175,0.072477059
7.3304891,1.5,2.8,656297,8952977,0.073304891
7.660789,1.5,2.9,682331,8906798,0.07660789
7.566624,1.5,3,678204,8963099,0.07566624
0.3461333,1.1,1.1,18078,5222843,0.003461333
1.257622,1.1,1.2,68889,5477719,0.01257622
2.4093298,1.1,1.3,136134,5650285,0.024093298
3.7895252,1.1,1.4,219010,5779352,0.037895252
5.0527965,1.1,1.5,302006,5977007,0.050527965
5.9302327,1.1,1.6,357225,6023794,0.059302327
6.8941538,1.1,1.7,424609,6158972,0.068941538
8.0821463,1.1,1.8,491440,6080563,0.080821463
9.7048219,1.1,1.9,596549,6146934,0.097048219
10.491974,1.1,2,650974,6204495,0.10491974
10.8486966,1.1,2.1,672264,6196726,0.108486966
