 Car allowed wait time used(%),Car flexibility(param.),Request Flexibility (param.),CarWaitTime,carDis, Car delay allowance used(%)
15.5809553,1.3,1.6,2288883,14690261,0.155809553
15.555965,1.3,1.7,2304967,14817255,0.15555965
15.4356179,1.3,1.8,2328147,15082953,0.154356179
15.2752986,1.3,1.9,2306637,15100438,0.152752986
15.371385,1.3,2,2324904,15124883,0.15371385
15.0988393,1.3,2.1,2292729,15184803,0.150988393
15.21887,1.3,2.2,2325128,15277928,0.1521887
15.0735089,1.3,2.3,2321152,15398883,0.150735089
14.8262763,1.3,2.4,2307885,15566181,0.148262763
14.7886267,1.3,2.5,2295161,15519771,0.147886267
15.068756,1.3,2.6,2354796,15627010,0.15068756
14.8257707,1.3,2.7,2322289,15663867,0.148257707
14.5885724,1.3,2.8,2285485,15666269,0.145885724
14.8649382,1.3,2.9,2335005,15708138,0.148649382
14.6672891,1.3,3,2295221,15648570,0.146672891
22.5511351,1.4,1.1,3142226,13933782,0.225511351
21.8433844,1.4,1.2,3118035,14274505,0.218433844
21.7129585,1.4,1.3,3148539,14500737,0.217129585
21.4691972,1.4,1.4,3192817,14871618,0.214691972
21.4964165,1.4,1.5,3216325,14962145,0.214964165
21.1774358,1.4,1.6,3214804,15180327,0.211774358
20.952894,1.4,1.7,3220011,15367858,0.20952894
20.9200493,1.4,1.8,3250324,15536885,0.209200493
20.9506529,1.4,1.9,3273352,15624105,0.209506529
20.9231178,1.4,2,3273572,15645718,0.209231178
20.6987212,1.4,2.1,3283191,15861806,0.206987212
20.6763678,1.4,2.2,3264723,15789635,0.206763678
20.5256986,1.4,2.3,3277077,15965727,0.205256986
20.3255544,1.4,2.4,3250634,15992843,0.203255544
20.1250805,1.4,2.5,3243426,16116338,0.201250805
20.4721113,1.4,2.6,3289223,16066848,0.204721113
20.2624803,1.4,2.7,3250392,16041432,0.202624803
20.2112203,1.4,2.8,3282055,16238777,0.202112203
20.1369634,1.4,2.9,3257031,16174390,0.201369634
20.2956725,1.4,3,3281958,16170728,0.202956725
28.0968671,1.5,1.1,4019721,14306652,0.280968671
27.7222532,1.5,1.2,4086404,14740519,0.277222532
27.3547544,1.5,1.3,4112740,15034827,0.273547544
27.256613,1.5,1.4,4182361,15344390,0.27256613
27.4208295,1.5,1.5,4237533,15453701,0.274208295
26.5027496,1.5,1.6,4133676,15597159,0.265027496
26.5990113,1.5,1.7,4195328,15772496,0.265990113
26.6770076,1.5,1.8,4234415,15872901,0.266770076
26.4794218,1.5,1.9,4222984,15948173,0.264794218
26.1284094,1.5,2,4200210,16075261,0.261284094
26.0444826,1.5,2.1,4201909,16133586,0.260444826
26.1476133,1.5,2.2,4219620,16137687,0.261476133
26.2100388,1.5,2.3,4277536,16320220,0.262100388
26.1558912,1.5,2.4,4253165,16260830,0.261558912
25.6052039,1.5,2.5,4178028,16317105,0.256052039
25.8347648,1.5,2.6,4249492,16448735,0.258347648
25.7973317,1.5,2.7,4251141,16478995,0.257973317
25.7617609,1.5,2.8,4233822,16434521,0.257617609
25.7334594,1.5,2.9,4241414,16482098,0.257334594
25.7898114,1.5,3,4246743,16466747,0.257898114
5.1930565,1.1,1.1,424751,8179210,0.051930565
4.9810967,1.1,1.2,426389,8560143,0.049810967
4.7512696,1.1,1.3,426883,8984609,0.047512696
4.6489235,1.1,1.4,429841,9246033,0.046489235
4.4691066,1.1,1.5,422484,9453433,0.044691066
4.3561153,1.1,1.6,424116,9736106,0.043561153
4.3747473,1.1,1.7,428292,9790097,0.043747473
4.3331526,1.1,1.8,426819,9850080,0.043331526
4.2280765,1.1,1.9,423695,10020987,0.042280765
4.119833,1.1,2,422569,10256945,0.04119833
4.1960353,1.1,2.1,428672,10216120,0.041960353
4.111322,1.1,2.2,428573,10424214,0.04111322
4.0546941,1.1,2.3,424177,10461381,0.040546941
4.0702365,1.1,2.4,430966,10588230,0.040702365
4.0809223,1.1,2.5,430974,10560701,0.040809223
3.9699964,1.1,2.6,423775,10674443,0.039699964
3.9452624,1.1,2.7,421036,10671939,0.039452624
3.8659665,1.1,2.8,418425,10823296,0.038659665
3.8518853,1.1,2.9,416031,10800711,0.038518853
3.9105514,1.1,3,420825,10761270,0.039105514
10.9747587,1.2,1.1,1057624,9636877,0.109747587
11.050886,1.2,1.2,1103078,9981806,0.11050886
10.5212826,1.2,1.3,1068179,10152555,0.105212826
10.4485625,1.2,1.4,1086916,10402541,0.104485625
10.2024216,1.2,1.5,1086578,10650197,0.102024216
10.3079754,1.2,1.6,1129667,10959155,0.103079754
9.8984041,1.2,1.7,1104935,11162759,0.098984041
9.8404312,1.2,1.8,1098076,11158820,0.098404312
9.7441511,1.2,1.9,1092717,11214081,0.097441511
9.8198049,1.2,2,1113690,11341264,0.098198049
9.5593528,1.2,2.1,1110441,11616278,0.095593528
9.5359706,1.2,2.2,1106088,11599113,0.095359706
9.5195116,1.2,2.3,1114953,11712292,0.095195116
9.4118196,1.2,2.4,1115021,11847029,0.094118196
9.4408589,1.2,2.5,1107520,11731136,0.094408589
9.4110946,1.2,2.6,1118021,11879819,0.094110946
9.4135061,1.2,2.7,1108340,11773934,0.094135061
9.3462056,1.2,2.8,1110970,11886856,0.093462056
9.2934413,1.2,2.9,1104653,11886372,0.092934413
9.1535996,1.2,3,1086067,11864917,0.091535996
17.3455272,1.3,1.1,1804676,10404273,0.173455272
16.7202942,1.3,1.2,1827218,10928145,0.167202942
16.3884544,1.3,1.3,1815983,11080868,0.163884544
16.2192774,1.3,1.4,1865449,11501431,0.162192774
16.2296936,1.3,1.5,1846059,11374577,0.162296936
15.9693983,1.3,1.6,1877018,11753843,0.159693983
15.7320912,1.3,1.7,1862945,11841687,0.157320912
15.7189292,1.3,1.8,1889340,12019521,0.157189292
15.5899038,1.3,1.9,1881608,12069401,0.155899038
15.2171809,1.3,2,1853888,12182861,0.152171809
15.4285096,1.3,2.1,1892467,12266039,0.154285096
15.071006,1.3,2.2,1867417,12390792,0.15071006
15.287378,1.3,2.3,1895700,12400426,0.15287378
15.24084,1.3,2.4,1900669,12470894,0.1524084
15.0702138,1.3,2.5,1882665,12492623,0.150702138
14.9369754,1.3,2.6,1870315,12521377,0.149369754
14.9047265,1.3,2.7,1851930,12425119,0.149047265
15.0719257,1.3,2.8,1900710,12610930,0.150719257
15.0586244,1.3,2.9,1892923,12570358,0.150586244
15.0260451,1.3,3,1896260,12619821,0.150260451
23.2706772,1.4,1.1,2568390,11037023,0.232706772
22.5472616,1.4,1.2,2539046,11260995,0.225472616
22.4475879,1.4,1.3,2607398,11615493,0.224475879
22.1265167,1.4,1.4,2621507,11847807,0.221265167
22.1357054,1.4,1.5,2640787,11929988,0.221357054
21.5661713,1.4,1.6,2650030,12287902,0.215661713
21.4112307,1.4,1.7,2641450,12336750,0.214112307
21.4861539,1.4,1.8,2664704,12401959,0.214861539
21.1148294,1.4,1.9,2669160,12641163,0.211148294
21.1750912,1.4,2,2672745,12622118,0.211750912
20.8386888,1.4,2.1,2665072,12789058,0.208386888
20.8357903,1.4,2.2,2683286,12878254,0.208357903
20.8080785,1.4,2.3,2684445,12900975,0.208080785
21.0457228,1.4,2.4,2730877,12975924,0.210457228
20.7853565,1.4,2.5,2705660,13017145,0.207853565
20.7082293,1.4,2.6,2700888,13042583,0.207082293
20.6532052,1.4,2.7,2684775,12999314,0.206532052
20.7302027,1.4,2.8,2708146,13063770,0.207302027
20.2752826,1.4,2.9,2652010,13080015,0.202752826
21.0489303,1.4,3,2732148,12979985,0.210489303
29.1384863,1.5,1.1,3330596,11430230,0.291384863
28.8092977,1.5,1.2,3390744,11769617,0.288092977
28.5144122,1.5,1.3,3415961,11979770,0.285144122
28.450815,1.5,1.4,3455028,12143863,0.28450815
28.0278051,1.5,1.5,3506499,12510787,0.280278051
27.8136775,1.5,1.6,3515307,12638771,0.278136775
27.5286897,1.5,1.7,3505026,12732266,0.275286897
27.7133224,1.5,1.8,3572929,12892460,0.277133224
27.2695149,1.5,1.9,3566158,13077453,0.272695149
26.6139281,1.5,2,3479349,13073414,0.266139281
27.0328517,1.5,2.1,3560618,13171448,0.270328517
27.1117231,1.5,2.2,3586018,13226817,0.271117231
27.1642726,1.5,2.3,3618355,13320272,0.271642726
26.9202792,1.5,2.4,3567305,13251367,0.269202792
26.6938457,1.5,2.5,3550668,13301448,0.266938457
26.8711487,1.5,2.6,3567217,13275268,0.268711487
26.6043698,1.5,2.7,3546147,13329190,0.266043698
26.3779498,1.5,2.8,3540115,13420736,0.263779498
