Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.2,0.044116071,289
1.2,0.045845195,295
1.2,0.047377988,283
1.2,0.0454551,290
1.2,0.045128523,289
1.3,0.075232918,377
1.3,0.067159932,359
1.3,0.066089415,356
1.3,0.066024934,348
1.3,0.065074076,345
1.3,0.067943331,350
1.3,0.068307762,354
1.3,0.059333322,330
1.3,0.090152464,339
1.3,0.062493223,338
1.3,0.059785974,332
1.3,0.063130657,338
1.3,0.064817435,333
1.3,0.057198383,330
1.3,0.066946919,329
1.3,0.055219034,332
1.3,0.051817569,343
1.3,0.054974904,319
1.3,0.057038303,316
1.3,0.062141624,329
1.4,0.090807863,406
1.4,0.089334419,395
1.4,0.087240222,401
1.4,0.084617986,387
1.4,0.084357494,380
1.4,0.141482093,399
1.4,0.075643866,393
1.4,0.066906178,377
1.4,0.067105717,388
1.4,0.068869808,385
1.4,0.082650827,375
1.4,0.074019324,365
1.4,0.074142191,368
1.4,0.07566953,367
1.4,0.074948046,367
1.4,0.082477594,384
1.4,0.102599909,367
1.4,0.070239954,376
1.4,0.072045107,373
1.4,0.067904514,366
1.5,0.119937983,457
1.5,0.110893286,448
1.5,0.112578139,439
1.5,0.10501587,438
1.5,0.131435532,420
1.5,0.095541299,435
1.5,0.095432547,432
1.5,0.077441,420
1.5,0.071923203,417
1.5,0.055334202,433
1.5,0.09912113,424
1.5,0.098261381,423
1.5,0.094036416,417
1.5,0.091171974,411
1.5,0.092321087,411
1.5,0.103451318,414
1.5,0.083730647,418
1.5,0.081153322,409
1.5,0.088458308,409
1.5,0.073674462,410
1.1,0.044450989,303
1.1,0.036072278,291
1.1,0.039697022,298
1.1,0.034801581,281
1.1,0.034638934,282
1.1,0.035688278,270
1.1,0.037638113,277
1.1,0.034976739,265
1.1,0.027050359,267
1.1,0.02532316,268
1.1,0.028434299,259
1.1,0.022886026,253
1.1,0.024228583,263
1.1,0.023225756,245
1.1,0.021969815,255
1.1,0.025720634,256
1.1,0.026467782,261
1.1,0.022441715,256
1.1,0.02192779,246
1.1,0.025453085,251
1.2,0.051935624,342
1.2,0.037267908,328
1.2,0.045353405,330
1.2,0.041087057,330
1.2,0.036318654,313
1.2,0.033418603,331
1.2,0.042477093,325
1.2,0.039827909,316
1.2,0.040435508,303
1.2,0.029988265,308
1.2,0.039895919,306
1.2,0.034956528,291
1.2,0.037118093,298
1.2,0.037448519,292
1.2,0.041080962,293
1.2,0.035980849,305
1.2,0.028939884,302
1.2,0.036114624,302
1.2,0.026116504,278
1.2,0.037685592,317
1.3,0.054315014,382
1.3,0.056955857,377
1.3,0.04191184,368
1.3,0.050958781,368
1.3,0.041668351,364
1.3,0.047500534,349
1.3,0.054417991,363
1.3,0.037592559,365
1.3,0.035419766,358
1.3,0.061938556,360
1.3,0.052523334,341
1.3,0.049879282,341
1.3,0.052575945,332
1.3,0.048784384,329
1.3,0.042415178,340
1.3,0.042462657,339
1.3,0.033777901,338
1.3,0.036878454,338
