day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
3,934864,10492571,2364073,15856029,29589,19726,9863,2,1.3,3.0,8414,141.60526802055756,952
3,10902,10231576,3262896,14345481,29589,19726,9863,2,1.4,1.1,8061,234.78674099008276,297
3,53396,10390398,3232167,14631214,29589,19726,9863,2,1.4,1.2,8156,229.38540176956303,377
3,108903,10609299,3264575,14877796,29589,19726,9863,2,1.4,1.3,8263,215.60612905367634,457
3,166817,10691400,3293544,15027301,29589,19726,9863,2,1.4,1.4,8332,218.10491000530237,506
3,247750,10820858,3307972,15379608,29589,19726,9863,2,1.4,1.5,8388,210.46152940508182,624
3,291641,10880502,3367200,15456611,29589,19726,9863,2,1.4,1.6,8416,204.41608681680555,661
3,360649,10919428,3346518,15662845,29589,19726,9863,2,1.4,1.7,8495,203.292036150704,722
3,401025,10929641,3310826,15668506,29589,19726,9863,2,1.4,1.8,8513,194.49460218286185,722
3,469749,10969824,3367020,15860200,29589,19726,9863,2,1.4,1.9,8571,199.62761509903794,813
3,481992,10971644,3360556,15863119,29589,19726,9863,2,1.4,2.0,8546,204.93960289834286,829
3,536236,10952405,3346247,15859779,29589,19726,9863,2,1.4,2.1,8592,200.60868199713514,798
3,593570,11007406,3367827,16024776,29589,19726,9863,2,1.4,2.2,8645,201.76859706161122,881
3,678376,11063105,3375198,16243112,29589,19726,9863,2,1.4,2.3,8686,207.65769094294956,978
3,669673,11088380,3411386,16209200,29589,19726,9863,2,1.4,2.4,8702,199.2069934228657,965
3,704701,11016793,3333198,16216858,29589,19726,9863,2,1.4,2.5,8683,185.15509918250427,957
3,736710,11116909,3367104,16302540,29589,19726,9863,2,1.4,2.6,8735,194.51261233702644,999
3,737702,11124919,3390793,16290235,29589,19726,9863,2,1.4,2.7,8734,186.3078603588183,977
