day,carFlex,ReqFlex,averageCPU,worstCaseCPU,MaxNumCar/s,averageNumCar/s
18,1.4,1.8,0.02131277885835264,0.061714636213764607,355,198.7437962962963
18,1.4,1.9,0.020522931926114395,0.06273831590442569,358,197.41121527777779
18,1.4,2.0,0.016018338685252653,0.056792247879911884,350,197.36885416666667
18,1.4,2.1,0.02200225232650682,0.06314798026167523,352,196.82180555555556
18,1.4,2.2,0.020061349690924123,0.05835583760483587,341,193.86726851851853
18,1.4,2.3,0.019686827308315627,0.06678491434263378,360,193.65833333333333
18,1.4,2.4,0.02190923346734281,0.06771524060468437,350,192.3372337962963
18,1.4,2.5,0.023058105779699738,0.06276462168125363,351,192.65659722222222
18,1.4,2.6,0.022201525114779484,0.06292694757371464,355,192.68725694444444
18,1.4,2.7,0.021927290845449653,0.06076826984326544,340,191.68729166666665
18,1.4,2.8,0.02055581276084156,0.06532013168271078,358,191.69081018518517
18,1.4,2.9,0.01973885539671811,0.061291818967220024,346,190.51787037037036
18,1.4,3.0,0.019860115047396452,0.05882100073586116,351,192.5563310185185
18,1.5,1.1,0.02342404373323836,0.07873607798828175,420,241.77614583333335
18,1.5,1.2,0.021494558965497013,0.06822050400580792,410,236.31958333333333
18,1.5,1.3,0.0220712071362559,0.07969174762109787,419,234.02333333333334
18,1.5,1.4,0.02038714384488527,0.201049279702886,412,229.0076388888889
18,1.5,1.5,0.020816335585358253,0.07228442576092675,406,226.86778935185185
18,1.5,1.6,0.019753305483795874,0.15294692071631744,408,225.66451388888888
18,1.5,1.7,0.020337388905714585,0.07447229648792586,410,223.49973379629628
18,1.5,1.8,0.01882139256817415,0.06666268871992997,405,220.79083333333332
18,1.5,1.9,0.019834069061639453,0.07178429519444762,394,221.04643518518517
18,1.5,2.0,0.030344387643089273,0.08857764663386547,396,222.04346064814814
18,1.5,2.1,0.029408176112240815,0.08289784440196968,395,218.93435185185186
18,1.5,2.2,0.028589642890458976,0.07851985733293532,396,218.2766435185185
18,1.5,2.3,0.028017914610550396,0.07827893491116811,397,217.4369212962963
18,1.5,2.4,0.02475214474056688,0.08114433979858404,395,216.77216435185184
18,1.5,2.5,0.02461278571730124,0.08007061497141876,399,214.67819444444444
18,1.5,2.6,0.021657474563626128,0.07470327404280397,401,216.2686574074074
18,1.5,2.7,0.01884304173699216,0.07160432518321613,392,215.84636574074074
18,1.5,2.8,0.01744378249736659,0.05788105040892333,396,214.6226388888889
18,1.5,2.9,0.01758485695545928,0.06400708844466863,399,215.64991898148148
18,1.5,3.0,0.017138410708904782,0.04795254437840413,398,214.17516203703704
19,1.1,1.1,0.013107787342637322,0.03499053312827627,270,162.4986111111111
19,1.1,1.2,0.012524979789737663,0.036856639289425175,265,157.95912037037036
19,1.1,1.3,0.010785037539167139,0.032990010862363306,263,155.6655324074074
19,1.1,1.4,0.010734431607257122,0.031089899672338106,252,152.17140046296296
19,1.1,1.5,0.010421511197777025,0.02939959309446749,245,149.31024305555556
19,1.1,1.6,0.010182918426752084,0.027869687596535186,242,147.34244212962963
19,1.1,1.7,0.010182576349382973,0.030687613764484922,247,145.25518518518518
19,1.1,1.8,0.009941852800676112,0.027618499505706495,248,143.41614583333333
19,1.1,1.9,0.009596429288615408,0.03288414614962676,242,142.86467592592592
19,1.1,2.0,0.009284613576893764,0.030345959464511907,252,142.8865625
19,1.1,2.1,0.009084982410746588,0.029713658408581978,241,140.2927662037037
19,1.1,2.2,0.009032933112612909,0.028897537715238286,245,138.79555555555555
19,1.1,2.3,0.008791228378020413,0.02673148153485272,245,139.58996527777776
19,1.1,2.4,0.00810925183797599,0.025263170051402994,236,136.9863425925926
19,1.1,2.5,0.008258508573278048,0.027153015572366712,231,138.1440162037037
19,1.1,2.6,0.007719951995431358,0.025236222669946073,227,135.69967592592593
19,1.1,2.7,0.007814838121568446,0.028378159019212035,242,136.56532407407408
19,1.1,2.8,0.008223649705392147,0.02670774217494909,227,135.7675810185185
19,1.1,2.9,0.00804606352186277,0.028833056480834784,248,135.36476851851853
19,1.1,3.0,0.008092867917747342,0.02701090021582786,233,134.87604166666668
19,1.2,1.1,0.013846316859635183,0.04618011244792797,302,178.87409722222222
19,1.2,1.2,0.013708520157518016,0.04293584020979324,313,174.32275462962963
19,1.2,1.3,0.012891668406456142,0.038108730117528467,297,170.91494212962962
19,1.2,1.4,0.01263485702512998,0.04213864684379587,295,168.64935185185186
19,1.2,1.5,0.012002879997430639,0.041595528787638614,296,167.58935185185186
19,1.2,1.6,0.011891931940256196,0.03946700646019963,285,165.2389814814815
19,1.2,1.7,0.01182220933461857,0.03874006876731073,287,162.72135416666666
19,1.2,1.8,0.011590490069442546,0.037589351421502215,288,161.04024305555555
19,1.2,1.9,0.01169687850526188,0.04156633579123081,290,161.12966435185186
19,1.2,2.0,0.011096455109233797,0.040415939247850474,279,159.4703935185185
19,1.2,2.1,0.0117492900906853,0.03943877587062161,280,158.15561342592594
19,1.2,2.2,0.010298979260734815,0.03649156643132301,286,156.25849537037038
19,1.2,2.3,0.010690113275927745,0.03623973673711589,279,156.69399305555555
19,1.2,2.4,0.010359248429377715,0.041583338305827056,289,155.6080787037037
19,1.2,2.5,0.010235390398471555,0.03662758654809295,276,156.94844907407406
19,1.2,2.6,0.010326938751625485,0.03255115350839333,265,154.50730324074075
19,1.2,2.7,0.010572887997068651,0.035660688839016075,278,154.12311342592594
19,1.2,2.8,0.010672267940554108,0.03232306317295297,268,153.18972222222223
19,1.2,2.9,0.010209792455843922,0.034792598195963365,269,153.52725694444445
19,1.2,3.0,0.010124845444118086,0.03416671318336739,273,153.53239583333334
19,1.3,1.1,0.01706826318469398,0.055726863908603264,334,198.47710648148148
19,1.3,1.2,0.016976569527025063,0.057524318407558894,353,195.72145833333335
19,1.3,1.3,0.01613964807025062,0.054013459574889566,338,192.07104166666667
19,1.3,1.4,0.0161523847681897,0.050661718614719575,327,189.49488425925927
19,1.3,1.5,0.015484359560999987,0.0526744313619929,339,187.9896412037037
19,1.3,1.6,0.015009237379479469,0.053924276575344265,343,184.58141203703704
19,1.3,1.7,0.014513370894603155,0.05083238536280987,321,181.69136574074074
19,1.3,1.8,0.014480163275177921,0.04941443981806515,322,180.87453703703704
19,1.3,1.9,0.014663702956309635,0.04779150169360946,312,180.20747685185185
